record_id,municipality,category,name,address,lat,lng,coordinateSource,toiletLocation,floor,insideOutside,gateStatus,openingHours,wheelchair,ostomate,babyChangingTable,babyChair,largeBed,handrail,emergencyButton,powderRoom,freeUse,generalPublicUse,imageUrl,imageSourceUrl,imageType,imageLicense,sourceUrl,sourceType,verificationStatus,researchNote
GS-TK-002495,葛飾区,PUBLIC,西水元猿西公園,東京都葛飾区西水元3-18-20西水元猿西公園 西水元猿西公園,35.791339,139.847655,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002496,葛飾区,PUBLIC,西水元宮田公園,東京都葛飾区西水元5-3-11西水元宮田公園 西水元宮田公園,35.785652,139.853835,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002497,葛飾区,PUBLIC,西水元五丁目公園,東京都葛飾区西水元5-14-13西水元五丁目公園 西水元五丁目公園,35.787034,139.855754,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002498,葛飾区,PUBLIC,西水元三丁目公園,東京都葛飾区西水元3-36-23西水元三丁目公園 西水元三丁目公園,35.78787,139.852154,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002499,葛飾区,PUBLIC,西水元水辺の公園,東京都葛飾区西水元3-1地先　西水元1-5地まで西水元水辺の公園 西水元1-5地まで西水元水辺の公園,35.787886,139.846408,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002500,葛飾区,PUBLIC,西青戸公園,東京都葛飾区青戸8-16-8西青戸公園 西青戸公園,35.75926,139.853136,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002501,葛飾区,PUBLIC,はらひよこ公園,東京都葛飾区東立石4-19-7はらひよこ公園 はらひよこ公園,35.733646,139.852055,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002502,葛飾区,PUBLIC,はら公園,東京都葛飾区東立石4-31-1はら公園 はら公園,35.734866,139.850141,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002503,葛飾区,PUBLIC,曳舟川親水公園(Bゾーン),東京都葛飾区亀有1-23-19地先曳舟川親水公園(Bゾーン) 地先曳舟川親水公園(Bゾ-ン),35.760431,139.845656,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002504,葛飾区,PUBLIC,曳舟川親水公園(Cゾーン),東京都葛飾区お花茶屋3-27-2地先曳舟川親水公園(Cゾーン) 地先曳舟川親水公園(Cゾ-ン),35.753401,139.842776,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002505,葛飾区,PUBLIC,曳舟川親水公園(Dゾーン),東京都葛飾区四つ木5-17-1地先曳舟川親水公園(Dゾーン) 地先曳舟川親水公園(Dゾ-ン),35.743192,139.839912,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002506,葛飾区,PUBLIC,曳舟川親水公園(広場ゾーン),東京都葛飾区白鳥2-1-1曳舟川親水公園(広場ゾーン) 曳舟川親水公園(広場ゾ-ン),35.747819,139.841323,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002507,葛飾区,PUBLIC,東金町四丁目平成公園,東京都葛飾区東金町4-35-1東金町四丁目平成公園 東金町四丁目平成公園,35.775544,139.873944,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002508,葛飾区,PUBLIC,東四つ木公園,東京都葛飾区東四つ木4-41-11東四つ木公園 東四つ木公園,35.734199,139.838847,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002509,葛飾区,PUBLIC,東新小岩一丁目公園,東京都葛飾区東新小岩1-18-11東新小岩一丁目公園 東新小岩一丁目公園,35.721846,139.861737,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002510,葛飾区,PUBLIC,東新小岩七丁目エンゼルパーク,東京都葛飾区東新小岩7-13-9東新小岩七丁目エンゼルパーク 東新小岩七丁目エンゼルパ-ク,35.72497,139.853654,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002511,葛飾区,PUBLIC,東新小岩二丁目かがやき公園,東京都葛飾区東新小岩2-15-1東新小岩二丁目かがやき公園 東新小岩二丁目かがやき公園,35.724732,139.868235,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
